phage,host,class,dataset,morphology,concentration
MK279884,LC361338,1,train,Myoviridae,0.001
MH271292,CP019892,1,train,Siphoviridae,0.001
MH271314,QUAI01000001,1,train,Siphoviridae,0.001
MF919537,NZ_CP029604,1,train,Siphoviridae,0.001
MH051246,CP027541,1,train,Siphoviridae,0.001
MF140406,NZ_GL545251,0,train,Podoviridae,0.001
NC_023704,CP027541,1,train,Siphoviridae,0.001
MK279872,LC361338,1,train,Myoviridae,0.001
NC_010147,NZ_CP023560,1,train,Podoviridae,0.001
MH371116,CP027541,1,train,Myoviridae,0.001
KT626047,CP027541,1,train,Myoviridae,0.001
KU160665,CP035765,0,train,Myoviridae,0.001
NC_003324,NC_011184,0,train,Siphoviridae,0.001
NC_023503,NZ_BAFC01000022,0,train,Siphoviridae,0.001
KT222941,NZ_CM001149,0,train,Podoviridae,0.001
MH536825,CP027541,1,train,Podoviridae,0.001
KU695581,NZ_JNYC01000004,0,train,Siphoviridae,0.001
MK279901,NREQ02000002,0,train,Myoviridae,0.001
MF919511,CP028813,0,train,Podoviridae,0.001
NC_024392,CP027029,1,train,Siphoviridae,0.001
NC_015159,CP012196,0,train,Siphoviridae,0.001
KU716094,CP020451,0,train,Siphoviridae,0.001
MH316561,NZ_LT629739,0,train,Myoviridae,0.001
MK359347,CP027541,1,train,Siphoviridae,0.001
NC_028664,NZ_UWXU01000001,1,train,Siphoviridae,0.001
MH271308,LT906480,0,train,Siphoviridae,0.001
MK392364,NZ_OCQN01000001,1,train,Siphoviridae,0.001
JQ911768,MH841968,0,train,Podoviridae,0.001
NC_007646,MH841968,1,train,Podoviridae,0.001
MH536812,NZ_CP029604,1,train,Siphoviridae,0.001
KX670828,CP027541,1,train,Myoviridae,0.001
MH479909,CP018032,0,train,Podoviridae,0.001
KT381277,NZ_LT629739,0,train,Siphoviridae,0.001
KU985096,KY464958,0,train,Podoviridae,0.001
MG944218,CP019892,1,train,Podoviridae,0.001
MH576974,NZ_CDQJ01000001,0,train,Myoviridae,0.001
MH727551,NZ_UHDY01000002,0,train,Siphoviridae,0.001
NC_007057,NZ_AEUT02000001,0,train,Siphoviridae,0.001
MH045557,CP019892,1,train,Myoviridae,0.001
NC_002515,CP018363,0,train,Myoviridae,0.001
MF324914,MTZF01000001,0,train,Siphoviridae,0.001
NC_030696,RKJP01000005,0,train,Siphoviridae,0.001
NC_031938,CP012196,0,train,Myoviridae,0.001
MF668276,NZ_CM002803,0,train,Podoviridae,0.001
MK112547,NZ_NGMG01000001,0,train,Podoviridae,0.001
MG757167,NZ_UZVX01000004,0,train,Myoviridae,0.001
NC_017985,CP030026,1,train,Podoviridae,0.001
NC_016651,NZ_CP016896,0,train,Myoviridae,0.001
MH825711,NZ_KN046795,0,train,Podoviridae,0.001
NC_001365,AP006716,0,train,Podoviridae,0.001
NC_001956,CP012196,0,train,Siphoviridae,0.001
JF704108,CP027541,1,train,Siphoviridae,0.001
MH651169,MH286069,0,train,Podoviridae,0.001
NC_022970,CP012196,0,train,Podoviridae,0.001
MG839019,CP020358,0,train,Siphoviridae,0.001
MF919510,CP014038,0,train,Siphoviridae,0.001
MK359323,RXKE01000007,0,train,Siphoviridae,0.001
KF493883,CP027541,1,train,Myoviridae,0.001
NC_029029,CP032410,1,train,Podoviridae,0.001
NC_021320,NJFC02000001,0,train,Siphoviridae,0.001
MH371109,SDYW01000001,0,train,Podoviridae,0.001
NC_023746,CP027541,1,train,Myoviridae,0.001
KT321476,NZ_BCTM01000001,0,train,Myoviridae,0.001
NC_009018,CP020557,0,train,Siphoviridae,0.001
NC_015464,LR134359,1,train,Myoviridae,0.001
NC_016654,NZ_CM001149,1,train,Podoviridae,0.001
NC_009737,RKIY01000003,1,train,Siphoviridae,0.001
NC_029081,CP012196,0,train,Podoviridae,0.001
NC_028906,NZ_KV917376,0,train,Podoviridae,0.001
MG812489,CP027541,1,train,Myoviridae,0.001
KJ567045,NZ_JYBP01000003,0,train,Myoviridae,0.001
NC_027629,CP012196,0,train,Myoviridae,0.001
NC_023714,CP027541,1,train,Myoviridae,0.001
MF668275,CP027029,0,train,Myoviridae,0.001
MK524528,NZ_UHFO01000001,0,train,Siphoviridae,0.001
KX579975,CP027541,1,train,Podoviridae,0.001
MG925346,CP024710,0,train,Podoviridae,0.001
MH338238,NZ_KN046795,0,train,Podoviridae,0.001
KU160668,CP014201,0,train,Podoviridae,0.001
NC_028755,CP012196,0,train,Podoviridae,0.001
MH727554,CP025095,0,train,Myoviridae,0.001
MF373842,CP023315,0,train,Podoviridae,0.001
MH576976,NZ_CP029604,1,train,Siphoviridae,0.001
KY471266,NZ_BCTM01000001,0,train,Siphoviridae,0.001
MF919499,CP027541,1,train,Podoviridae,0.001
MH727547,NZ_LT629770,0,train,Podoviridae,0.001
NC_008199,CP027541,1,train,Siphoviridae,0.001
NC_016568,NJFC02000001,1,train,Siphoviridae,0.001
NC_026586,CP012196,0,train,Myoviridae,0.001
MH779504,LS483339,0,train,Siphoviridae,0.001
NC_028898,NZ_LR215978,0,train,Myoviridae,0.001
KT365399,CP011102,0,train,Myoviridae,0.001
MF472893,QUAI01000001,0,train,Myoviridae,0.001
MH399782,KY464958,0,train,Myoviridae,0.001
NC_021336,CM000737,1,train,Myoviridae,0.001
MH183162,CP019892,1,train,Podoviridae,0.001
MG962372,NZ_ALPT02000001,0,train,Siphoviridae,0.001
MH834600,CP027541,1,train,Myoviridae,0.001
NC_014900,CP030026,1,train,Siphoviridae,0.001
MG770213,CP029760,0,train,Siphoviridae,0.001
KX369584,CP027541,1,train,Myoviridae,0.001
NC_022086,CP033337,0,train,Podoviridae,0.001
KR063280,NZ_FNRZ01000004,1,train,Myoviridae,0.001
NC_016761,NZ_AEUT02000001,0,train,Podoviridae,0.001
NC_031918,NC_011184,0,train,Siphoviridae,0.001
NC_019485,NZ_KN150799,1,train,Podoviridae,0.001
KX683292,CP014324,0,train,Podoviridae,0.001
NC_028851,CP020557,1,train,Myoviridae,0.001
NC_031942,NZ_UHFW01000006,1,train,Myoviridae,0.001
NC_013152,NZ_CM007353,1,train,Podoviridae,0.001
KM233455,CP027541,1,train,Siphoviridae,0.001
MH825701,CP014201,0,train,Siphoviridae,0.001
NC_023691,LR134235,0,train,Podoviridae,0.001
MK279883,CP025430,0,train,Podoviridae,0.001
NC_022067,CP027541,1,train,Myoviridae,0.001
NC_027991,CP011458,0,train,Podoviridae,0.001
KR063280,NZ_LT629739,0,train,Myoviridae,0.001
NC_008195,CP027541,1,train,Myoviridae,0.001
MF140404,NZ_UFTQ01000001,0,train,Podoviridae,0.001
MK279894,CP027541,1,train,Myoviridae,0.001
KR337653,CP012196,0,train,Siphoviridae,0.001
KU867906,CP027541,1,train,Podoviridae,0.001
MG198778,CP012196,0,train,Podoviridae,0.001
MK305890,CP012196,0,train,Podoviridae,0.001
NC_028786,CP030026,0,train,Podoviridae,0.001
NC_007057,NZ_CP023560,1,train,Siphoviridae,0.001
NC_006565,CP012196,0,train,Myoviridae,0.001
KX576644,CP021694,0,train,Podoviridae,0.001
JF937098,CP027541,1,train,Siphoviridae,0.001
MG839018,NC_010163,0,train,Siphoviridae,0.001
MH399780,CP027541,1,train,Podoviridae,0.001
KT364588,CP027541,1,train,Siphoviridae,0.001
NC_028687,CP020369,0,train,Podoviridae,0.001
MG757158,QLNP01000098,0,train,Podoviridae,0.001
KU160670,NZ_QTTZ01000001,0,train,Siphoviridae,0.001
NC_020201,CP012196,0,train,Podoviridae,0.001
GQ303264,CP027541,1,train,Siphoviridae,0.001
NC_024367,CP012196,0,train,Myoviridae,0.001
NC_031237,NZ_CP029604,1,train,Podoviridae,0.001
NC_020480,CP027116,1,train,Myoviridae,0.001
MG872834,NZ_CP029604,1,train,Siphoviridae,0.001
JF937104,CP027541,1,train,Myoviridae,0.001
MH271306,NZ_FNSA01000003,0,train,Myoviridae,0.001
MH371120,NZ_GG657757,0,train,Siphoviridae,0.001
MK279909,CP027541,1,train,Myoviridae,0.001
KX683293,CP027541,1,train,Myoviridae,0.001
NC_023549,NZ_MIGA01000001,0,train,Siphoviridae,0.001
MK524504,CP027541,1,train,Myoviridae,0.001
NC_011290,CP027541,1,train,Siphoviridae,0.001
NC_031015,CP012196,0,train,Myoviridae,0.001
NC_023747,CP027541,1,train,Siphoviridae,0.001
MH153811,CP019892,1,train,Siphoviridae,0.001
MH051252,CP027541,1,train,Myoviridae,0.001
MF189174,NZ_CM002276,0,train,Myoviridae,0.001
MG962372,CP027541,1,train,Siphoviridae,0.001
NC_007501,CP014201,1,train,Myoviridae,0.001
KU160656,LC361338,1,train,Podoviridae,0.001
NC_001396,CP012196,0,train,Podoviridae,0.001
NC_028652,CP012196,0,train,Podoviridae,0.001
KX670790,SIMC01000001,0,train,Siphoviridae,0.001
NC_027299,NVUC01000001,1,train,Myoviridae,0.001
NC_030694,NZ_CP029604,1,train,Siphoviridae,0.001
NC_007145,NZ_UHDY01000002,0,train,Podoviridae,0.001
MF140428,CP027541,1,train,Myoviridae,0.001
MF919516,CP012196,0,train,Siphoviridae,0.001
MG839024,CP019892,1,train,Myoviridae,0.001
MK524524,LC361338,0,train,Siphoviridae,0.001
NC_014229,CP012196,0,train,Myoviridae,0.001
NC_009014,NZ_NQJM01000001,1,train,Podoviridae,0.001
KX576639,CP027541,1,train,Podoviridae,0.001
MH371120,NZ_AOJL01000060,0,train,Siphoviridae,0.001
NC_030923,CP012196,0,train,Myoviridae,0.001
MH051247,CP027541,1,train,Siphoviridae,0.001
MK284519,CP027541,1,train,Podoviridae,0.001
NC_023712,CP027541,1,train,Podoviridae,0.001
NC_023603,CP027541,1,train,Podoviridae,0.001
NC_012419,NZ_UGJA01000003,1,train,Myoviridae,0.001
KU695582,CP027541,1,train,Myoviridae,0.001
NC_028671,NZ_UGJA01000003,1,train,Siphoviridae,0.001
JF704094,CP027541,1,train,Siphoviridae,0.001
MF668284,CP027541,1,train,Siphoviridae,0.001
NC_005135,CP032627,0,train,Myoviridae,0.001
NC_019488,CP030026,1,train,Myoviridae,0.001
JN020140,NZ_FODB01000001,0,train,Siphoviridae,0.001
NC_019449,NZ_LT629770,0,train,Siphoviridae,0.001
NC_023724,CP027541,1,train,Myoviridae,0.001
MG099950,LC361338,1,train,Siphoviridae,0.001
NC_007059,NZ_LR215978,0,train,Podoviridae,0.001
KT355473,MH841968,0,train,Myoviridae,0.001
NC_028692,CP017065,0,train,Siphoviridae,0.001
MK524528,CP027541,1,train,Siphoviridae,0.001
MH727563,CP027541,1,train,Myoviridae,0.001
MH271313,NZ_CP029604,1,train,Podoviridae,0.001
MH338239,CP027541,1,train,Myoviridae,0.001
MK279905,CP027541,1,train,Myoviridae,0.001
KX758539,CP020557,0,train,Myoviridae,0.001
NC_009018,NZ_UHFO01000001,1,train,Siphoviridae,0.001
NC_028900,NZ_CM007353,1,train,Myoviridae,0.001
NC_021783,CP030026,1,train,Podoviridae,0.001
MK279877,CP027541,1,train,Myoviridae,0.001
MH509447,CP019892,1,train,Myoviridae,0.001
NC_028664,LC361338,0,train,Siphoviridae,0.001
NC_022091,CP012196,0,train,Siphoviridae,0.001
KX620752,NZ_AOJL01000060,0,train,Myoviridae,0.001
NC_027396,NZ_UHFW01000006,1,train,Siphoviridae,0.001
NC_028821,CP032627,0,train,Podoviridae,0.001
MF324908,CP014636,0,train,Podoviridae,0.001
MH271315,QUAI01000001,1,train,Podoviridae,0.001
NC_022060,CP027541,1,train,Podoviridae,0.001
KX641264,CP027541,1,train,Siphoviridae,0.001
NC_027333,CP012196,0,train,Myoviridae,0.001
MH155879,CP027541,1,train,Podoviridae,0.001
NC_022791,NZ_UHFW01000006,1,train,Myoviridae,0.001
MG925348,CP027541,1,train,Siphoviridae,0.001
NC_023606,CP027541,1,train,Siphoviridae,0.001
NC_031087,NZ_UWXU01000001,1,train,Siphoviridae,0.001
NC_028773,CP012196,0,train,Podoviridae,0.001
MK524494,CP027541,1,train,Myoviridae,0.001
MG839017,CP020358,0,train,Podoviridae,0.001
MK359360,CP027541,1,train,Myoviridae,0.001
NC_008197,CP032627,0,train,Myoviridae,0.001
MH077580,NZ_ALPT02000001,0,train,Siphoviridae,0.001
MF155947,CP027541,1,train,Podoviridae,0.001
NC_007060,NZ_CP023560,1,train,Siphoviridae,0.001
MH576959,CP026337,0,train,Siphoviridae,0.001
NC_028945,NZ_KI421518,1,train,Myoviridae,0.001
MH590588,CP029897,0,train,Siphoviridae,0.001
MF347637,AP009493,1,train,Myoviridae,0.001
JQ684677,CP027541,1,train,Podoviridae,0.001
MK279908,NZ_GL545251,0,train,Podoviridae,0.001
NC_018454,CP012196,0,train,Myoviridae,0.001
MF185721,LC361338,1,train,Podoviridae,0.001
MG944217,NZ_AEUD01000001,0,train,Myoviridae,0.001
NC_020863,CP012196,0,train,Siphoviridae,0.001
MG198779,LC361338,1,train,Siphoviridae,0.001
MH155870,NZ_CM001889,1,train,Podoviridae,0.001
MF668288,CP027541,1,train,Podoviridae,0.001
MK524517,CP027541,1,train,Podoviridae,0.001
NC_027361,CP012196,0,train,Myoviridae,0.001
JN561150,CP012831,0,train,Siphoviridae,0.001
NC_029106,NC_014640,1,train,Myoviridae,0.001
MH513981,CP019892,1,train,Podoviridae,0.001
MG925339,CP027541,1,train,Siphoviridae,0.001
MF140418,NZ_UHFW01000006,0,train,Myoviridae,0.001
NC_022066,CP027541,1,train,Myoviridae,0.001
NC_028681,CP027541,1,train,Myoviridae,0.001
NC_028828,CP027541,1,train,Podoviridae,0.001
NC_025442,CP030026,1,train,Podoviridae,0.001
KP027204,CP027541,1,train,Podoviridae,0.001
NC_028856,NC_016776,0,train,Podoviridae,0.001
MH271312,NZ_LT629770,1,train,Podoviridae,0.001
KJ944841,SIMC01000001,0,train,Siphoviridae,0.001
NC_011611,CP012196,0,train,Siphoviridae,0.001
MG925356,CP027541,1,train,Podoviridae,0.001
MG962374,NZ_UGVK01000001,0,train,Siphoviridae,0.001
MK061415,CP027541,1,train,Myoviridae,0.001
NC_004681,CP027541,1,train,Podoviridae,0.001
NC_005354,CP012196,0,train,Siphoviridae,0.001
MG198782,LC361338,1,train,Siphoviridae,0.001
MF324904,CM000737,0,train,Myoviridae,0.001
KU716095,CP025430,0,train,Myoviridae,0.001
MF668287,CP027541,1,train,Siphoviridae,0.001
MF140433,NZ_CM007353,0,train,Podoviridae,0.001
NC_004745,RKJP01000005,1,train,Myoviridae,0.001
NC_008203,NZ_FOTC01000001,0,train,Podoviridae,0.001
MG757165,CP027541,1,train,Podoviridae,0.001
JN699010,CP027541,1,train,Myoviridae,0.001
NC_024371,CP029449,0,train,Podoviridae,0.001
NC_021299,NZ_OCQN01000001,0,train,Siphoviridae,0.001
NC_023863,CP011458,1,train,Podoviridae,0.001
MK376959,NZ_KN046823,0,train,Myoviridae,0.001
KY798216,NZ_MIGA01000001,0,train,Myoviridae,0.001
MF190168,CP027541,1,train,Myoviridae,0.001
NC_023601,MTZF01000001,1,train,Podoviridae,0.001
NC_027391,CP012196,0,train,Myoviridae,0.001
NC_028911,CP005486,1,train,Myoviridae,0.001
NC_015264,CP012831,1,train,Podoviridae,0.001
MK359352,CP027541,1,train,Siphoviridae,0.001
